Version,Comment
2.5,Chapter update:
,UL approval for devices up to 40 A for US and Canada 3.2; UL approval for devices above 60
,A for US and Canada 3.3; Feedback system 9.12.3 and 9.12.5; Electrical data 7.2.1 – 7.2.3;
,Determining the mechanical commutation offset 10.1.5.1.4; Technical data mains choke
,12.9.1
,New chapter:
,Motors and cables for servo drives AX5101 – AX5140 9.15; Motors and cables for servo
,drives AX5160 – AX5193 9.16
2.4,Chapter update:
,Disposal 5.2
,New chapter:
,EU Declaration of Conformity 3.1
,Delete chapter:
,EU Conformity 3.1 (see: „New Chapter“); Electromagnetic compatibility 3.2; Asynchronous
,motors – Special functions 10.8
2.3,Chapter update:
,Name plate 6.2; Permissible ambient and operating conditions 7.2.1; Rotational encoders
,9.12.1; OCT 10.7.1; Rotational encoders 9.12.1; External brake resistor 12.5.3; Motor chokes
,12.7.1 and 12.7.2
2.2,Chapter update:
,1.0; 3.0; 6.4 – 6.8; 7.2.2; 7.2.3; 7.2.4; 9.1.3; 9.1.4; 9.3 – 9.7; 9.8.4; 9.11.1; 9.12; 9.14.1;
,10.1.6.3; 11.4
,New Chapter:
,Third party motors 10.1.5
,General update:
,Accessoires 12.0; Appendix 13.0
2.1,Chapter update:
,2.3.1; 7.2.4; 8.2; 9.1.3; 9.1.4; 9.3; 9.12.1; 10.4.1; 10.4.2; 10.5; 12.2.1.1; 12.3.5.3
,Delete Chapter:
,10.7.2
2.0,General update
1.1,Chapter update:
,9.7.5; 9.8.1; 9.8.4; 14.2.1.1; 14.2.1.2
,New chapter:
,9.8.2
1.0,First published
