Technical data,ZS4500-2006 ZS4500-2007,ZS4500-2008
Number of terminal points,10 10,30
Signal LEDs,no yes,yes
Rated voltage,24 VDC 24 VDC,24 VDC
Rated current,2 A,
Wire cross section,0.5 mm2 ... 1.5 mm2,
Strip length,10 mm,
Dimensions (W x H x D),approx. 42mm x approx. 42mm x,approx. 42mm x
,10.3mm x 26.9mm 12.7mm x 26.9mm,20.8mm x 26.9mm
Weight,approx. 10 g approx. 10 g,approx. 20 g
Permissible ambient temperature,0°C ... + 55°C,
range during operation,,
Permissible ambient temperature,-25°C ... + 85°C,
range during storage,,
Permissible relative humidity,"95 %, no condensation",
Vibration/shock resistance,"conforms to EN 60068-2-6 / EN 60068-2-27, EN 60068-2-29",
EMC immunity/emission,conforms to EN 61000-6-2 / EN 61000-6-4,
Protection class,IP 20,
Installation position,variable,
Approval,"CE, UL, CSA",
