Type1),Type power,Resistance,O,R,H,M,U,Weight,AX5000
,[W] * at 40 °C,[Ω],[mm,[mm],[mm],[mm],[mm],[kg],
,,,],,,,,,
AX2090-BW50-0300,300,47,349,92,120,230,64,2,AX5x01-AX5112
AX2090-BW50-0600,600,47,549,92,120,430,64,3,AX5x01-AX5112
AX2090-BW50-1600,1600,47,649,185,120,530,150,"5,8",AX5x01-AX5112
AX2090-BW51-1000,1000,23,749,92,120,630,64,4,AX5118-AX5140
AX2090-BW51-3000,3000,"23,4",490,355,255,380,270,8,AX5118-AX5140
AX2090-BW51-6000,6000,"23,2",490,455,255,380,370,12,AX5118-AX5140
AX2090-BW52-2000,3000,"13,2",490,355,255,380,270,8,AX5160-AX5172
AX2090-BW52-6000,6000,"13,0",490,455,255,380,370,12,AX5160-AX5172
AX2090-BW53-3000,3000,"10,2",490,355,255,380,270,8,AX5190-AX5191
AX2090-BW53-6000,6000,10,490,455,255,380,370,12,AX5190-AX5191
AX2090-BW54-3000,3000,"6,6",490,355,255,380,270,8,AX5192-AX5193
AX2090-BW54-6000,6000,"6,5",490,455,255,380,370,12,AX5192-AX5193
