Unnamed: 0,AX2090-NF50-,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Dimensions,0014,0032,0063,0100,0150,0180
B1 [mm],38-0.3,35-0.3,40,45,60,180
B2 [mm],46.4,58,62,75,90,200
B3 [mm],Ø 4.5,Ø 7,Ø 8.5,,,
H1 [mm],70,90,180,200,220,120
H2 [mm],1.5,--,--,--,--,
K [mm2],4,10,0.6-16,16-50,35-95,Busbars
K1 [mm],--,--,--,--,--,45
K2 [mm],--,--,--,--,--,86
K3 [mm],--,--,--,--,--,91
L1 [mm],200,240,250,280,160,
L2 [mm],231,265,280,290,320,310
L3 [mm],221-0.5,255-0.5,270,300,180,
L4 [mm],--,--,305,336,380,410
PE1 [mm],60,70,--,--,--,30
PE2 [mm],9,8,--,--,--,--
PE [mm2],M5,M6,M8,M10,,
T [Nm],0.5 – 0.6,1.2 – 1.5,--,--,--,--
