Title of documentation,Reference number
,0198441113797 (fre)
,0198441113795 (ger)
LXM32M - PROFINET Module - User Guide,0198441114106 (eng)
,0198441114107 (fre)
,0198441114105 (ger)
"LXM32M - ANA, DIG And RSR Encoder Modules - User Guide",0198441113818 (eng)
,0198441113819 (fre)
,0198441113817 (ger)
LXM32M - IOM1 Module - User Guide,0198441113874 (eng)
,0198441113875 (fre)
,0198441113873 (ger)
LXM32M - Safety Module eSM - User Guide,0198441113825 (eng)
,0198441113826 (fre)
,0198441113824 (ger)
LXM32 - Common DC Bus - Application Note,MNA01M001EN (eng)
,MNA01M001DE (ger)
