Data set type,Setting A,Setting B,Setting C,Setting D,Transition type
"""Gear""
Electronic Gear(1)","Method
Value 0: No
synchronization
Value 1: Position
synchronization without
compensation
movement
Value 2: Position
synchronization with
compensation
movement
Value 3: Velocity
synchronization","Numerator of gear
ratio
Like parameter
GEARnum","Denominator of
gear ratio
Like parameter
GEARdenom","Acceleration and
deceleration for
velocity
synchronization(2)
(3)(4)
Unit: usr_a","•Abort And Go
Next"
"""Write Parameter""
Write parameter
directly","Modbus address of the
parameter
The parameters of the
safety module eSM and
the following parameters
cannot be written
directly:
AccessLock
AT_start
DCOMopmode
GEARreference
JOGactivate
OFSp_rel
PAR_CTRLreset
PAR_ScalingStart
PAReeprSave
PARuserReset
PTtq_reference
PTtq_target
PVv_reference
PVv_target","Value of the
parameter
(Values greater
than 2147483647
must be entered
as negative
values.)",-,-,"•No Transition
•Buffer And
Start Next"
"(1) Function principle like operating mode Electronic Gear.
(2) Available with firmware version ≥V01.20.
(3) Value 0 means that the values for acceleration and deceleration are taken from the previous data set.
(4) The motion profile for velocity must have been activated see parameter RAMP_v_enable in section Motion Profile for the Velocity, page
317.",,,,,
