Characteristic Unit,Value,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,LXM32•-,LXM32•-,LXM32•-,LXM32•-,LXM32•-,LXM32•-,LXM32•-
,U60N4,D12N4,D18N4,D30N4,D72N4,D85N4,C10N4
Nominal power kW,,,,,,,
PWM frequency = 4 kHz,-,-,-,-,-,15,22
PWM frequency = 8 kHz,0.8,1.6,3.3,5.6,13,13,13
Input current(3) Arms,,,,,,,
PWM frequency = 4 kHz,-,-,-,-,-,21.0,32.0
PWM frequency = 8 kHz,1.6,2.9,6.0,9.6,19.5,18.4,20.7
THD (total harmonic distortion)(4) %,,,,,,,
PWM frequency = 4 kHz,-,-,-,-,-,45,54
PWM frequency = 8 kHz,116,98,98,85,55,48,73
Power dissipation(5) W,,,,,,,
PWM frequency = 4 kHz,-,-,-,-,-,314,417
PWM frequency = 8 kHz,21,44,82,137,341,466,593
Maximum inrush current(6) A,43,57,116,137,177,208,279
Time for maximum inrush current ms,1.9,2.4,2.4,2.7,3.2,4.1,3.4
"(1) As per IEC 60269. Circuit breakers with B or C characteristic. See Conditions for UL 508C and CSA, page 56. Lower ratings are",,,,,,,
permissible. The fuse must be rated in such a way that the fuse does not trip at the specified input current.,,,,,,,
"(2) At a mains impedance corresponding to a short-circuit current of the supply mains of 5 kA (for LXM32MU60, LXM32MD12,",,,,,,,
"LXM32MD18, LXM32MD30 and LXM32MD72) and of 22 kA (for LXM32MD85 and LXM32MC10)",,,,,,,
(3) At nominal power and nominal voltage.,,,,,,,
(4) With reference to the input current.,,,,,,,
"(5) Condition: internal braking resistor not active. Value at nominal current, nominal voltage and nominal power. Value approximately",,,,,,,
proportional with output current.,,,,,,,
"(6) Extreme case, off/on pulse before the inrush current limitation responds, see next line for maximum time.",,,,,,,
