Characteristic Unit,Unnamed: 0,Value,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
,,LXM32•U60N4,,LXM32•D12N4,,LXM32•D18N4,
Nominal voltage V,,208 400,480.0,208 400,480.0,208 400,480.0
Nominal voltage DC bus V,,294 566,679.0,294 566,679.0,294 566,679.0
Undervoltage limit V,,150 350,350.0,150 350,350.0,150 350,350.0
Voltage limit: activation of Quick Stop V,,160 360,360.0,160 360,360.0,160 360,360.0
Overvoltage limit V,,450(1) 820,820.0,450(1) 820,820.0,450(1) 820,820.0
,,/ 820,,/ 820,,/ 820,
Maximum continuous power via DC bus kW,,0.4 0.8,0.8,0.8 1.6,1.6,1.7 3.3,3.3
Maximum continuous current via DC bus A,,1.5 1.5,1.5,3.2 3.2,3.2,6.0 6.0,6.0
(1) Can be set via parameter MON_DCbusVdcThresh.,,,,,,,
