Description,Reference
"Braking resistor IP65; 10 Ω; maximum continuous power 400 W; 0.75 m (2.46 ft) connection cable, 2.1 mm2",VW3A7601R07
(AWG 14),
"Braking resistor IP65; 10 Ω; maximum continuous power 400 W; 2 m (6.56 ft) connection cable, 2.1 mm2",VW3A7601R20
(AWG 14),
"Braking resistor IP65; 10 Ω; maximum continuous power 400 W; 3 m (9.84 ft) connection cable, 2.1 mm2",VW3A7601R30
(AWG 14),
"Braking resistor IP65; 27 Ω; maximum continuous power 100 W; 0.75 m (2.46 ft) connection cable, 2.1 mm2",VW3A7602R07
"(AWG 14), UL",
"Braking resistor IP65; 27 Ω; maximum continuous power 100 W; 2 m (6.56 ft) connection cable, 2.1 mm2",VW3A7602R20
"(AWG 14), UL",
"Braking resistor IP65; 27 Ω; maximum continuous power 100 W; 3 m (9.84 ft) connection cable, 2.1 mm2",VW3A7602R30
"(AWG 14), UL",
"Braking resistor IP65; 27 Ω; maximum continuous power 200 W; 0.75 m (2.46 ft) connection cable, 2.1 mm2",VW3A7603R07
"(AWG 14), UL",
"Braking resistor IP65; 27 Ω; maximum continuous power 200 W; 2 m (6.56 ft) connection cable, 2.1 mm2",VW3A7603R20
"(AWG 14), UL",
"Braking resistor IP65; 27 Ω; maximum continuous power 200 W; 3 m (9.84 ft) connection cable, 2.1 mm2",VW3A7603R30
"(AWG 14), UL",
"Braking resistor IP65; 27 Ω; maximum continuous power 400 W; 0.75 m (2.46 ft) connection cable, 2.1 mm2",VW3A7604R07
(AWG 14),
"Braking resistor IP65; 27 Ω; maximum continuous power 400 W; 2 m (6.56 ft) connection cable, 2.1 mm2",VW3A7604R20
(AWG 14),
"Braking resistor IP65; 27 Ω; maximum continuous power 400 W; 3 m (9.84 ft) connection cable, 2.1 mm2",VW3A7604R30
(AWG 14),
"Braking resistor IP65; 72 Ω; maximum continuous power 100 W; 0.75 m (2.46 ft) connection cable, 2.1 mm2",VW3A7605R07
"(AWG 14), UL",
"Braking resistor IP65; 72 Ω; maximum continuous power 100 W; 2 m (6.56 ft) connection cable, 2.1 mm2",VW3A7605R20
"(AWG 14), UL",
"Braking resistor IP65; 72 Ω; maximum continuous power 100 W; 3 m (9.84 ft) connection cable, 2.1 mm2",VW3A7605R30
"(AWG 14), UL",
"Braking resistor IP65; 72 Ω; maximum continuous power 200 W; 0.75 m (2.46 ft) connection cable, 2.1 mm2",VW3A7606R07
"(AWG 14), UL",
