Description,Reference
"Braking resistor IP65; 72 Ω; maximum continuous power 200 W; 2 m (6.56 ft) connection cable, 2.1 mm2(AWG 14), UL",VW3A7606R20
"Braking resistor IP65; 72 Ω; maximum continuous power 200 W; 3 m (9.84 ft) connection cable, 2.1 mm2(AWG 14), UL",VW3A7606R30
"Braking resistor IP65; 72 Ω; maximum continuous power 400 W; 0.75 m (2.46 ft) connection cable, 2.1 mm2(AWG 14)",VW3A7607R07
"Braking resistor IP65; 72 Ω; maximum continuous power 400 W; 2 m (6.56 ft) connection cable, 2.1 mm2(AWG 14)",VW3A7607R20
"Braking resistor IP65; 72 Ω; maximum continuous power 400 W; 3 m (9.84 ft) connection cable, 2.1 mm2(AWG 14)",VW3A7607R30
"Braking resistor IP65; 100 Ω; maximum continuous power 100 W; 0.75 m (2.46 ft) connection cable, 2.1 mm2(AWG 14), UL",VW3A7608R07
"Braking resistor IP65; 100 Ω; maximum continuous power 100 W; 2 m (6.56 ft) connection cable, 2.1 mm2(AWG 14), UL",VW3A7608R20
"Braking resistor IP65; 100 Ω; maximum continuous power 100 W; 3 m (9.84 ft) connection cable, 2.1 mm2(AWG 14), UL",VW3A7608R30
"Braking resistor IP20; 16 Ω; maximum continuous power 960 W; M6 terminals, UL",VW3A7733
"Braking resistor IP20; 10 Ω; maximum continuous power 960 W; M6 terminals, UL",VW3A7734
